모둠코드,유산이름,국가·정치체,자료종류,시기,정확한연도,발견·출토지역,소장·관리기관,확인된사실,자료상태,출처기관,출처URL,확인날짜
1모둠,무령왕릉,백제,무덤,6세기,1971,충청남도 공주,국가유산청,배수로 공사 중 도굴되지 않은 상태로 발견되었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
1모둠,무령왕릉,백제,기록 유물,6세기,525,충청남도 공주,국립공주박물관,지석에 무령왕을 525년에 안장했다는 기록이 있다,확인됨,국립공주박물관,https://gongju.museum.go.kr/,수업용 예시
1모둠,무령왕릉,백제,기록 유물,6세기,529,충청남도 공주,국립공주박물관,왕비를 529년에 안장했다는 기록도 지석에 남아 있다,확인됨,국립공주박물관,https://gongju.museum.go.kr/,수업용 예시
1모둠,무령왕릉,백제,무덤 구조,6세기,,충청남도 공주,국가유산청,벽돌을 쌓아 만든 벽돌무덤이다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
1모둠,무령왕릉,백제,공예품,6세기,1971,충청남도 공주,국립공주박물관,무덤을 지키는 돌짐승(석수)이 입구에서 나왔다,확인됨,국립공주박물관,https://gongju.museum.go.kr/,수업용 예시
1모둠,무령왕릉,백제,장신구,6세기,1971,충청남도 공주,국립공주박물관,왕과 왕비의 금제 관식이 출토되었다,확인됨,국립공주박물관,https://gongju.museum.go.kr/,수업용 예시
1모둠,무령왕릉,백제,공예품,6세기,,충청남도 공주,국립공주박물관,중국 도자기와 일본산 나무로 만든 관재가 함께 나왔다,확인됨,국립공주박물관,https://gongju.museum.go.kr/,수업용 예시
1모둠,무령왕릉,백제,발굴 기록,6세기,1971,충청남도 공주,국립공주박물관,4600여 점의 유물이 출토되었다,확인됨,국립공주박물관,https://gongju.museum.go.kr/,수업용 예시
1모둠,무령왕릉,백제,사용 방법,6세기,,충청남도 공주,국가유산청,무덤 앞 제사의 정확한 절차는 하나로 확정하기 어렵다,판단 보류,국가유산청,https://www.heritage.go.kr/,수업용 예시
1모둠,무령왕릉,백제,등재 기록,6세기,2015,충청남도 공주,유네스코,백제역사유적지구의 하나로 세계유산에 등재되었다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
2모둠,백제 금동대향로,백제,공예품,6세기,1993,충청남도 부여,국립부여박물관,능산리 절터 발굴 중 출토되었다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,공예품,6세기,,충청남도 부여,국립부여박물관,높이 약 62cm의 대형 향로다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,공예품,6세기,,충청남도 부여,국립부여박물관,꼭대기에 봉황이 있고 받침은 용 모양이다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
