모둠코드,유산이름,국가·정치체,자료종류,시기,정확한연도,발견·출토지역,소장·관리기관,확인된사실,자료상태,출처기관,출처URL,확인날짜
1모둠,무령왕릉,백제,무덤,6세기,1971,충청남도 공주,국가유산청,배수로 공사 중 발견되었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
1모둠,무령왕릉,백제,무덤,6세기,1971,충청남도 공주,국가유산청,배수로 공사 중 발견되었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,공예품,서기 500년대,1993,충청남도 부여,국립부여박물관,능산리 절터에서 출토되었다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
2모둠,백제 금동대향로,백제,공예품,6세기,,충청남도 부여,국립부여박물관,꼭대기에 봉황이 있고 받침은 용 모양이다,확인됨,국립부여박물관,https://buyeo.museum.go.kr/,수업용 예시
3모둠,첨성대,신라국,석조 건축,7세기,,경상북도 경주,국가유산청,선덕여왕 때 세운 것으로 전해진다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
3모둠,첨성대,신라,지정 기록,7세기,1962년,경상북도 경주,국가유산청,국보로 지정되었다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
4모둠,신라 금관,Silla,장신구,5~6세기,1921,경상북도 경주,국립경주박물관,금관총에서 처음으로 발견되었다,확인됨,국립경주박물관,https://gyeongju.museum.go.kr/,수업용 예시
4모둠,신라 금관,신라,장신구,5~6세기,1973,경주시,국립경주박물관,천마총 발굴에서 출토되었다,확인됨,국립경주박물관,https://gyeongju.museum.go.kr/,수업용 예시
5모둠,고구려 고분벽화,고구려,무덤 벽화,4~7세기,357,북한 황해남도 안악,,안악 3호분에는 357년에 쓴 글이 남아 있다,확인됨,,,수업용 예시
5모둠,고구려 고분벽화,고구려,무덤 벽화,4~7세기,,중국 지린성 지안,유네스코,무용총에는 춤과 사냥 장면이 그려져 있다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
6모둠,가야 고분군,가야,고분군,1~6세기,2023,영남과 호남 동부의 일곱 지역,유네스코,일곱 고분군이 세계유산에 등재되었다,확인됨,유네스코,https://whc.unesco.org/,수업용 예시
6모둠,가야 고분군,가야,고분군,1~6세기,,경상남도 함안,국가유산청,말이산 고분군은 아라가야의 고분군이다,확인됨,국가유산청,https://www.heritage.go.kr/,수업용 예시
